,source_sentence,target_sentence
0,pursuit of individual intele it must not,pursuit of individual intellect it must not
1,must not be censorsored by the sponsorship,must not be censored by the sponsorship
2,which is more likly to succeed than,which is more likely to succeed than
3,is an individual An fruitless individual research,is an individual Any fruitless individual research
4,an fruitless individual resarc being immediatly curtailed,an fruitless individual research being immediatly curtailed
5,individual research being immediatly curtailed Because we,individual research being immediately curtailed Because we
6,other way of prodi the results An,other way of producing the results An
7,questions as i  wull state below how,questions as i  will state below how
8,question I will no support this view,question I will now support this view
9,necessarily the most unabiguous one to chose,necessarily the most unambiguous one to chose
10,unabiguous one to chose but i would,unabiguous one to choose but i would
11,science may be describe very sucinctly if,science may be described very sucinctly if
12,is how The wa of seat belts,is how The wearing of seat belts
13,ensure that people war seat belts is,ensure that people wear seat belts is
14,number of people wa seat belts indeed,number of people wearing seat belts indeed
15,wearing seat belts inded even the less,wearing seat belts indeed even the less
16,existing cars is likly to be prohibitive,existing cars is likely to be prohibitive
17,safety it is posible that any inteference,safety it is possible that any inteference
18,possible that any inteference with the mechanism,possible that any interference with the mechanism
19,result in their malfuc which would thus,result in their malfunction which would thus
20,course presents the dilema of who is,course presents the dillema of who is
21,taxation would be conter productive There is,taxation would be counter productive There is
22,think be socially unaceptable for the police,think be socially unacceptable for the police
23,or wrongly are affraid of the British,or wrongly are afraid of the British
24,power to stop w for numerous reasons,power to stop vehicals for numerous reasons
25,far as to imprisons someone for not,far as to imprison someone for not
26,introduce a system were (the) anyone who was,introduce a system whereby (the) anyone who was
27,think that it sould be a requirement,think that it should be a requirement
28,would be highly desireble for there to,would be highly desirable for there to
29,present shock properganda campagn to (en) try to,present shock properganda campaign to (en) try to
30,belts of their owm free will EQ,belts of their own free will EQ
31,before then Research impo understanding but and use,before then Research improves understanding but and use
32,use of scientific reas is the indication,use of scientific research is the indication
33,now obselete Applied scient has more immediate,now obselete Applied science has more immediate
34,has more immediate bef whereas pure science,has more immediate benefits whereas pure science
35,and enlarges on itsef Pure research is,and enlarges on itself Pure research is
36,for immediate questions aswered If we had,for immediate questions answered If we had
37,of an idea of theory is little,of an idea or theory is little
38,dependence continues increasing consup and increasing dependence,dependence continues increasing consumption and increasing dependence
39,current way of live for as long,current way of life for as long
40,fuels is however enevitable and with it,fuels is however inevitable and with it
41,our minimum energy ret There are many,our minimum energy requirement There are many
42,have learned a lef from our present,have learned a lesson from our present
43,expense of our envio and it seem,expense of our environment and it seem
44,environment and it seem to be approaching,environment and it seems to be approaching
45,be nuclear power Some much power from,be nuclear power So much power from
46,useful commodities from of environment and now,useful commodities from our environment and now
47,environment harmful nuclear wate which even though,environment harmful nuclear waste which even though
48,moral conviction in a all to be,moral conviction in us all to be
49,small but comparatively inehaustible and non-detrimental potential,small but comparatively inexhaustible and non-detrimental potential
50,hope for little rap change in our,hope for little radical change in our
51,a strictly non-political sence The conservative person,a strictly non-political sense The conservative person
52,to long past culu The valuable experience,to long past cultures The valuable experience
53,things to be leart and gained from,things to be learnt and gained from
54,some degree The consert would argue that,some degree The conservative would argue that
55,still serve a pe to maintain and,still serve a purpose to maintain and
56,women rather than competion In wanting things,women rather than competition In wanting things
57,advancement but it all serves to deter,advancement but it also serves to deter
58,any change is ef to occur Therefore,any change is ever to occur Therefore
59,valuable to society at the wish for,valuable to society as the wish for
60,time as an elu At present scientists,time as an education At present scientists
61,for the encouragement hea is because research,for the encouragement here is because research
62,specialist has had form more experience of,specialist has had far more experience of
63,SQ Cambrige Colleges Examinations General,SQ Cambridge Colleges Examinations General
64,cost when an objet is to be,cost when an object is to be
65,used energy in rasing that object exactly,used energy in raising that object exactly
66,can be applied we cycling up hill,can be applied when cycling up hill
67,ontop of the usually effort put in,ontop of the usual effort put in
68,the road the byc and our own,the road the bicycle and our own
69,the only way wen are expending energy,the only way we are expending energy
70,in turning the pedels the pedals will,in turning the pedals the pedals will
71,one body and attacked inside another body,one body and attached inside another body
72,sensation the sensative are of the back,sensation the sensative area of the back
73,nerves all these mircroscopic cells would have,nerves all these microscopic cells would have
74,cell must go th the right part,cell must go to the right part
75,by modern medical techiques is clearly impossible,by modern medical techniques is clearly impossible
76,sq cambrige colleges examinations general,sq cambridge colleges examinations general
77,can occur if an car hits another,can occur if a car hits another
78,such cases the inury cased could have,such cases the injury cased could have
79,cases the injury cased could have been,cases the injury caused could have been
80,leave the people concened with a choice,leave the people concerned with a choice
81,insurance as an ins I am very,insurance as an incentive I am very
82,point is the diffuculty in enforcing such,point is the difficulty in enforcing such
83,The only way arr this problem would,The only way around this problem would
84,the car Indicating wether or not the,the car Indicating whether or not the
85,were enforced then diffu I am sure,were enforced then difficulties I am sure
86,of seatbelts too greater infringement of personal,of seatbelts too great infringement of personal
87,of science one cannto escape the fact,of science one cannot escape the fact
88,these may have symettry about themselves that,these may have symmetry about themselves that
89,may have symmetry aboit themselves that is,may have symmetry about themselves that is
90,period that its prop distribution of electrons,period that its probability distribution of electrons
91,of electrons is symettrical Progressing further still,of electrons is symmetrical Progressing further still
92,that to be symettrical an object should,that to be symmetrical an object should
93,electrons and other fundamet particles (should) being considered,electrons and other fundamental particles (should) being considered
94,an absolutely perfect word would be extremely,an absolutely perfect world would be extremely
95,boring or perhaps ojects made by man,boring or perhaps objects made by man
96,man are not symettrical because of mans,man are not symmetrical because of mans
97,appears that we lie (o) in a world,appears that we live (o) in a world
98,where many things appoa symmetry but nothing,where many things approach symmetry but nothing
99,of science to aviid being swamped with,of science to avoid being swamped with
100,individuals (have .. the discovery) have aco most of (science) the science,individuals (have .. the discovery) have accomplished most of (science) the science
101,process up Scientific reas is done for,process up Scientific research is done for
102,the benefit of manknd and must therefore,the benefit of mankind and must therefore
103,and objectives are helpfll in research as,and objectives are helpful in research as
104,most of the estabishments which give support,most of the establishments which give support
105,scientists to do researh in a field,scientists to do research in a field
106,be of direct praci use The writer,be of direct practicle use The writer
107,reached (to) viable conclusions possiply he is (d) also,reached (to) viable conclusions possibly he is (d) also
108,the straight and narno path to the,the straight and narrow path to the
109,in the shortest pissible time neglecting other,in the shortest possible time neglecting other
110,manufacture of bigger deadil bombs etc reconcilable,manufacture of bigger deadlier bombs etc reconcilable
111,year twenty three hy and five which,year twenty three hundred and five which
112,awakened by a piecing siren as he,awakened by a piercing siren as he
113,knowledge of the word in which we,knowledge of the world in which we
114,become a job last ten years or,become a job lasting ten years or
115,a job last tens years or more,a job last ten years or more
116,four years usual nowd As the expanse,four years usual nowadays As the expanse
117,My opinion is than imagination and exploration,My opinion is that imagination and exploration
118,a large part is (st) scientific advancement,a large part in (st) scientific advancement
119,large part in st advancements but they,large part in scientific advancements but they
120,the fields most ungertly required eg medical,the fields most urgently required eg medical
121,passes eg nuclear reser and alternative technology,passes eg nuclear research and alternative technology
122,advancements made in scieme (are) may well be,advancements made in science (are) may well be
123,operation between specialists is more than one,operation between specialists in more than one
124,study Thus while indivual work was encouraged,study Thus while individual work was encouraged
125,hundred years bringing ad many major advances,hundred years bringing about many major advances
126,next fifty to hundrd years the majority,next fifty to hundred years the majority
127,of teams not indivuals EQ,of teams not individuals EQ
128,which depends on scienfic interpretation the necessary,which depends on scientific interpretation the necessary
129,depends on scientific interpart the necessary introduction,depends on scientific interpretation the necessary introduction
130,interpretation the necessary incroduction is a simple,interpretation the necessary introduction is a simple
131,on a hill is weight must still,on a hill its weight must still
132,body onto the group Any force acting,body onto the ground Any force acting
133,force when a bycle is standing on,force when a bicycle is standing on
134,When pedalling a bicyl along a level,When pedalling a bicycle along a level
135,Thus when pedalling upwill the resistance to,Thus when pedalling uphill the resistance to
136,greater than that wheh pedalling on the,greater than that when pedalling on the
137,pedal on the leval EQ,pedal on the level EQ
138,expansion is insignificant untl the liquid begins,expansion is insignificant until the liquid begins
139,begins to boil is becomes converted into,begins to boil it becomes converted into
140,it is being convers to a gas,it is being converted to a gas
141,steam produced is lighted than air so,steam produced is lighter than air so
142,becoming full of stem When milk boils,becoming full of steam When milk boils
143,milk boils the amomt of heat needed,milk boils the amount of heat needed
144,is less than than for steam Thus,is less than that for steam Thus
145,in a given tine The vapour thus,in a given time The vapour thus
146,the vapour thus form is lighter than,the vapour thus formed is lighter than
147,vapourize it follows than only a small,vapourize it follows that only a small
148,it does so beyons the sides of,it does so beyond the sides of
149,etc In that situating people should be,etc In that situation people should be
150,people should be encourage to find a,people should be encouraged to find a
151,more money tax fee than when he,more money tax free than when he
152,a new three peice suite (suddenly found them) becomes,a new three piece suite (suddenly found them) becomes
153,people in this cout are finding that,people in this country are finding that
154,for doing nothing exep signing a card,for doing nothing except signing a card
155,to the local Empoymen Office I am,to the local Employmen Office I am
156,scientist spends five yars on a project,scientist spends five years on a project
157,worth is overestimated Wen know no other,worth is overestimated We know no other
158,science is an explaratory and imaginative process,science is an exploratory and imaginative process
159,and imaginative process Imagenation having a hunch,and imaginative process Imagination having a hunch
160,choose but his int is just as,choose but his inventiveness is just as
161,the production of oxi was observed simultaneously,the production of oxygen was observed simultaneously
162,rule for the proccess of interpretation Science,rule for the process of interpretation Science
163,formation of a stau using the observations,formation of a star using the observations
164,the observations of spectoscopy and Xray photograph,the observations of spectroscopy and Xray photograph
165,spectoscopy and Xray photograph a scientist (ha) can,spectoscopy and Xray photography a scientist (ha) can
166,is to cast daubt upon the basic,is to cast doubt upon the basic
167,of the same main after a meal,of the same man after a meal
168,of modern science astonomy being an example,of modern science astronomy being an example
169,etcetera (Art) An art  be definition is also,etcetera (Art) An art  by definition is also
170,also a skill tu basics of which,also a skill the basics of which
171,dictated by the commisioner not the poet,dictated by the commissioner not the poet
172,art can be discare The conclusion must,art can be discarded The conclusion must
173,scientific knowledge is any brushstroke added to,scientific knowledge is another brushstroke added to
174,they are studying is so closely that,they are studying it so closely that
175,explain the part the is being studied,explain the part that is being studied
176,with one another Scienci have become bickering,with one another Scientists have become bickering
177,scientists have become bickere egocentric individuals and,scientists have become bickering egocentric individuals and
178,unhappy leads to polictical unrest Scientific knowledge,unhappy leads to political unrest Scientific knowledge
179,made nation wide og necessary In the,made nation wide organisations necessary In the
180,take what is convinient to us We,take what is convenient to us We
181,these are for econi purposes (an) or polictical,these are for economic purposes (an) or polictical
182,economic purposes (an) or polictical advantage (w) both of which,economic purposes (an) or political advantage (w) both of which
183,specifically for the furt (which) plans that would,specifically for the future (which) plans that would
184,at present extremely convi to us there,at present extremely convenient to us there
185,sources or reduce a energy consumption by,sources or reduce our energy consumption by
186,another or what it commonly referred to,another or what is commonly referred to
187,low impact technology Nucleur energy would offer,low impact technology Nuclear energy would offer
188,particles could be boma the DNA in,particles could be bombarding the DNA in
189,power stations to shit down i feel,power stations to shut down i feel
190,could have done it the first place,could have done in the first place
191,A-T as a convinient abbreviation is simple,A-T as a convenient abbreviation is simple
192,enough to enable inv to set up,enough to enable individuals to set up
193,a person to recate to such a,a person to relate to such a
194,course such great upheavels in social structure,course such great upheavals in social structure
195,a space age fantast of believing that,a space age fantasy of believing that
196,will soon need a least thrice the,will soon need at least thrice the
197,understanding and requires urgu to give it,understanding and requires urgency to give it
198,various lines of reasearch will never meet,various lines of research will never meet
199,of results expected on modern science because,of results expected of modern science because
200,has become far tw complex for even,has become far too complex for even
201,the inconclusiveness and irrationallity of this past,the inconclusiveness and irrationality of this past
202,therefore the most import decision (in) which effects,therefore the most important decision (in) which effects
203,to totally different forcasts anyway if they,to totally different forecasts anyway if they
204,they were considered indivdually On the other,they were considered individually On the other
205,For example by consering the previous fifty,For example by considering the previous fifty
206,consider the last milenium as a whole,consider the last millenium as a whole
207,towards increasing overpopulation p a far more,towards increasing overpopulation but a far more
208,just as spectacular buts takes on a,just as spectacular but takes on a
209,whatever the different interper that may be,whatever the different interpretations that may be
210,driver put on he seat belt Besides,driver put on his seat belt Besides
211,company or the govermne or the participant,company or the government or the participant
212,would also be reat immune to the,would also be relatively immune to the
213,injustice which less convential methods tend to,injustice which less conventional methods tend to
214,This final proposal it therefore probably the,This final proposal is therefore probably the
215,a common and convential method for achieving,a common and conventional method for achieving
216,Scientific facts are increase all the time,Scientific facts are increasing all the time
217,being present to obi chance take its,being present to observe chance take its
218,end sum of may years of careful,end sum of many years of careful
219,planets and learn im regarding these Rockets,planets and learn information regarding these Rockets
220,the satellite will the communcate by radio,the satellite will then communcate by radio
221,satellite will the communcate by radio waves,satellite will the communicate by radio waves
222,earths surface and determin the position of,earths surface and determine the position of
223,which the average houshe is benefitting Originally,which the average household is benefitting Originally
224,was a thick mu shrouding everything arround,was a thick mist shrouding everything arround
225,the bar by squrting the drink from,the bar by squirting the drink from
226,houses of the for of them and,houses of the four of them and
227,would find a fw changes Just as,would find a few changes Just as
228,their seats a platic voice from a,their seats a plastic voice from a
229,and cheers for thoughout the hundred years,and cheers for throughout the hundred years
230,together are the storey of succesful science,together are the story of succesful science
231,dedicated individual spending yeas on a personal,dedicated individual spending years on a personal
232,is known to slove the problem We,is known to solve the problem We
233,on existing knowledge Stict adherence to it,on existing knowledge Strict adherence to it
234,a finite and predicable set of steps,a finite and predictable set of steps
235,the major energy souces would have three,the major energy sources would have three
236,of large cities Cites by their very,of large cities Cities by their very
237,deal of transportation partiularly of food to,deal of transportation particularly of food to
238,this would be widesread so necesscay is,this would be widespread so necesscay is
239,be widesread so necesscay is mobility to,be widesread so necessary is mobility to
240,our present society Comminites would become more,our present society Communities would become more
241,shape and properties Plastis can be designed,shape and properties Plastics can be designed
242,soft tough or bittle as a replacement,soft tough or brittle as a replacement
243,no longer an insum barrier to the,no longer an insurmountable barrier to the
244,is a classic synbol of the advance,is a classic symbol of the advance
245,from anywhere to eveywhere Television is certainly,from anywhere to everywhere Television is certainly
246,error in the blnk of an eye,error in the blink of an eye
247,be not merely tediuos but impossible without,be not merely tedious but impossible without
248,studying the most fundanental elements of the,studying the most fundamental elements of the
249,of the largest precison instrments built by,of the largest precision instrments built by
250,the largest precison instrments built by man,the largest precison instruments built by man
251,aligned to this precison so that a,aligned to this precision so that a
252,world Perhaps most wondeful of all it,world Perhaps most wonderful of all it
253,and generally very difficut to destroy The,and generally very difficult to destroy The
254,of people into previouly unspoilt places where,of people into previously unspoilt places where
255,even when no ham is intended they,even when no harm is intended they
256,preposterous amounts Modern medicin is surely pure,preposterous amounts Modern medicine is surely pure
257,past Ah well doubb people found fault,past Ah well doubtless people found fault
258,wrong for all rea to be like,wrong for all research to be like
259,of the following ve c In b it is stated,of the following view c In b it is stated
260,feel that if somo is given a,feel that if someone is given a
261,why a thing work can answer the,why a thing works can answer the
262,part of the as to the how,part of the answer to the how
263,devices incentive schemes Punshment Conclusion Many people,devices incentive schemes Punishment Conclusion Many people
264,be stored and build up into an,be stored and built up into an
265,up into an every increasing pyramid of,up into an ever increasing pyramid of
266,and the scientist kn has to be,and the scientist now has to be
267,his imagination and creatitivity but for such,his imagination and creativity but for such
268,to the scientist Reasearch is for the,to the scientist Research is for the
269,backing but any reasearch which leads nowhere,backing but any research which leads nowhere
270,are scarce and valuble not financially but,are scarce and valuable not financially but
271,not last for every and so should,not last for ever and so should
272,not be thrown thorought away Financial backing,not be thrown thoughtlessly away Financial backing
273,directed at worthwhile projets and not given,directed at worthwhile projects and not given
274,of men making discovers in their own,of men making discoveries in their own
275,team in new reas to make new,team in new researches to make new
276,its own symmetry whih can be broken,its own symmetry which can be broken
277,since it can emprace things which appear,since it can embrace things which appear
278,from factual thro abse In mathematics symmetry,from factual thro abstract In mathematics symmetry
279,which are perfectly symetrical along any diameter,which are perfectly symmetrical along any diameter
280,more abstract it looses more and more,more abstract it loses more and more
