Unnamed: 0,doc_id,paragraph_id,source_text,target_text,error_types,num_errors,source_file,has_sec,mec_only
825,2,0,"Personally, I agree to a large extent that surveillance technology such as RFID should be used to track people.","Personally, I agree to a large extent that surveillance technology, such as RFID, should be used to track people.","['Mec', 'Mec']",2,official.sgml,True,False
973,9,1,"In fact, people are getting more exposed in public through the fast development of the virtual world-the internet.","In fact, people are getting more exposed in public through the fast development of the virtual world -- the Internet.","['Mec', 'Mec']",2,official.sgml,True,False
990,9,2,Afterall there will be an endless battle between the technology and human mentality.,"After all, there will be an endless battle between the technology and human mentality.",['Mec'],1,official.sgml,True,True
995,9,2,This phenomenon is accepted by the public even by those who do not own a pet.,"This phenomenon is accepted by the public, even by those who do not own a pet.",['Mec'],1,official.sgml,True,True
1000,9,3,This greatly violets the rights of people.,This greatly violates the rights of people.,['Mec'],1,official.sgml,True,True
1037,11,3,"For example, if the tracking technology is able to track everyone even strangers, this means your location at anytime is viewable to every single person online.","For example, if the tracking technology is able to track everyone, even strangers, this means your location at anytime is viewable to every single person online.",['Mec'],1,official.sgml,True,True
1160,16,4,So Surveillance technology should not be used to track people.,So surveillance technology should not be used to track people.,['Mec'],1,official.sgml,True,True
1325,24,1,"However, the fact is that such technology will create check points everywhere.","However, the fact is that such technology will create checkpoints everywhere.",['Mec'],1,official.sgml,True,True
1496,32,2,Hence people died of various diseases.,"Hence, people died of various diseases.",['Mec'],1,official.sgml,True,True
1847,49,1,"In the long history of the evolution, we are always struggling for life against staving and illness.","In the long history of the evolution, we are always struggling for life against starving and illness.",['Mec'],1,official.sgml,True,True
2754,2,0,"Personally, I agree to a large extent that surveillance technology such as RFID should be used to track people.","Personally, I agree to a large extent that surveillance technology, such as RFID, should be used to track people.","['Mec', 'Mec']",2,official.sgml,True,False
2903,9,1,"In fact, people are getting more exposed in public through the fast development of the virtual world-the internet.","In fact, people are getting more exposed in public through the fast development of the virtual world -- the Internet.","['Mec', 'Mec']",2,official.sgml,True,False
2920,9,2,Afterall there will be an endless battle between the technology and human mentality.,"After all, there will be an endless battle between the technology and human mentality.",['Mec'],1,official.sgml,True,True
2925,9,2,This phenomenon is accepted by the public even by those who do not own a pet.,"This phenomenon is accepted by the public, even by those who do not own a pet.",['Mec'],1,official.sgml,True,True
2930,9,3,This greatly violets the rights of people.,This greatly violates the rights of people.,['Mec'],1,official.sgml,True,True
2967,11,3,"For example, if the tracking technology is able to track everyone even strangers, this means your location at anytime is viewable to every single person online.","For example, if the tracking technology is able to track everyone, even strangers, this means your location at anytime is viewable to every single person online.",['Mec'],1,official.sgml,True,True
3090,16,4,So Surveillance technology should not be used to track people.,So surveillance technology should not be used to track people.,['Mec'],1,official.sgml,True,True
3255,24,1,"However, the fact is that such technology will create check points everywhere.","However, the fact is that such technology will create checkpoints everywhere.",['Mec'],1,official.sgml,True,True
3426,32,2,Hence people died of various diseases.,"Hence, people died of various diseases.",['Mec'],1,official.sgml,True,True
3869,2,1,"This knowledge maybe relavant to them, and vice versa.","This knowledge may be relevant to them, and vice versa.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
3876,2,3,"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective these findings are important because, if lay constructs of the family and kinship are a social construct, they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
3903,4,1,Privicy protection belongs to one's human rights.,Privacy  belongs to one's human rights.,"['Mec', 'Rloc-']",2,official-2014.1.sgml,True,False
3956,6,1,"There should not be forced or obligied to do so, as it may negatively and drastically affect the emotions of the genetic risk carrier.","They should not be forced or obliged to do so, as it may negatively and drastically affect the emotions of the genetic risk carrier.","['Pref', 'Mec']",2,official-2014.1.sgml,True,False
3980,7,1,That is true and of course it is the obligation of a family member to protect and take care of the family.,"That is true and, of course, it is the obligation of a family member to protect and take care of the family.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
3997,8,0,"Other than that, I believe that the stong bond we have with our family is the biggest pillar of support to the carrier.","Other than that, I believe that the strong bond we have with our family is the biggest pillar of support to the carrier.",['Mec'],1,official-2014.1.sgml,True,True
4005,8,1,She or he does not want to be the source of unhappiness in thefamily.,She or he does not want to be the source of unhappiness in the family.,['Mec'],1,official-2014.1.sgml,True,True
4015,9,0,Genetic testing has been made possible- it has become easy to tell if one is a carrier of a known genetic risk through genetic testing.,Genetic testing has been made possible; it has become easy to tell if one is a carrier of a known genetic risk through genetic testing.,['Mec'],1,official-2014.1.sgml,True,True
4032,9,5,"I think the family will stay mentally healty as it is, without having emtional stress.","I think the family will stay mentally healthy as it is, without having emotional stress.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
4095,12,2,"However, if a dignosed carrier is obligated to tell his or her relatives, the relatives will be forced to know their higher chance of being genetic risk carriers.","However, if a diagnosed carrier is obligated to tell his or her relatives, the relatives will be forced to know their higher chance of being genetic risk carriers.",['Mec'],1,official-2014.1.sgml,True,True
4103,12,4,"Otherwise, making it an obligation will restric the choice of carriers and bring a lot of confusion to their relatives.","Otherwise, making it an obligation will restrict the choice of carriers and bring a lot of confusion to their relatives.",['Mec'],1,official-2014.1.sgml,True,True
4166,17,0,"Being in Asian society where genetic testing is not a common practice, I do think that it is the choice of the patient whether he or she wants to tell his or her relatives about his or her disease.","Being in Asian society, where genetic testing is not a common practice, I do think that it is the choice of the patient whether he or she wants to tell his or her relatives about his or her disease.",['Mec'],1,official-2014.1.sgml,True,True
4175,17,1,"To prevent that from happening, I do feel that it is up to the person whether he wants to share the information with his family since his family may either be paranoid or judge him and act differently.","To prevent that from happening, I do feel that it is up to the person whether he wants to share the information with his family,  since his family may either be paranoid or judge him and act differently.",['Mec'],1,official-2014.1.sgml,True,True
4176,17,1,"Especially when it is just a risk, the option is really his since he is not an actual sufferer.","Especially when it is just a risk, the option is really his, since he is not an actual sufferer.",['Mec'],1,official-2014.1.sgml,True,True
4178,17,2,May be we can trust our immediate family members but can we really trust all the other relatives?,"Maybe we can trust our immediate family members, but can we really trust all the other relatives?","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
4187,18,0,Therefore an entirely new dilemma is born: should a carrier of a known genetic risk be obligated to tell his or her relatives?,"Therefore, an entirely new dilemma is born: should a carrier of a known genetic risk be obligated to tell his or her relatives?",['Mec'],1,official-2014.1.sgml,True,True
4218,19,2,"His relatives can then take measures, if this disease can some how be prevented, to stop this disease from taking their lives.","His relatives can then take measures, if this disease can somehow be prevented, to stop this disease from taking their lives.",['Mec'],1,official-2014.1.sgml,True,True
4225,19,3,He or she might even be adviced not to get married or have children.,He or she might even be advised not to get married or have children.,['Mec'],1,official-2014.1.sgml,True,True
4226,19,3,"For example, if an unmarried person has gene Aa and gene aa is sufficient for a very seriou disease.","For example, if an unmarried person has gene Aa and gene aa is sufficient for a very serious disease.","['Mec', 'Sfrag']",2,official-2014.1.sgml,True,False
4364,26,2,"This kind of feeling makes people's relationship not as stable, secure and reliable than before.","This kind of feeling makes people's relationship not as stable, secure and reliable than before.",['Mec'],1,official-2014.1.sgml,True,True
4376,27,1,"The receipent,will then receive the information almost immediately depending on the quality of the network.","The recipient will then receive the information almost immediately, depending on the quality of the network.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
4383,27,3,"However, it is a good practice not to intesively use social media all the time.","However, it is  good practice not to intensively use social media all the time.","['ArtOrDet', 'Mec']",2,official-2014.1.sgml,True,False
