,doc_id,paragraph_id,source_text,target_text,error_types,num_errors,source_file,has_sec,mec_only
819,2,0,"In modern digital world, electronic products are widely used in daily lives such as Smart phones, computers and etc.","In the modern digital world, electronic products are widely used in daily life such as smart phones, computers and etc.","['ArtOrDet', 'Nn', 'Mec']",3,official.sgml,True,False
820,2,0,"In work places, electronic devices such as computers are also inevitable to use to increase the productivity of the corporation.","In ce places, electronic devices, such as computers, are also inevitable to increase the productivity of the corporation.","['ArtOrDet', 'Mec', 'Mec', 'Mec', 'Rloc-']",5,official.sgml,True,False
823,2,0,Surveillance technology such as RFID (radio-frequency identification) is one type of examples that has currently been implemented.,"Surveillance technology, such as RFID (radio-frequency identification), is one  example that  implemented.","['Mec', 'Mec', 'Rloc-', 'Nn', 'Vt', 'WOadv']",6,official.sgml,True,False
824,2,0,"In this essay, I will discuss that if surveillance technology such as RFID (radio-frequency identification) should be used or not to track people.","In this essay, I will discuss  surveillance technology, such as RFID (radio-frequency identification), should be used or not used to track people.","['Trans', 'Ssub', 'Mec', 'Mec', 'V0']",5,official.sgml,True,False
825,2,0,"Personally, I agree to a large extent that surveillance technology such as RFID should be used to track people.","Personally, I agree to a large extent that surveillance technology, such as RFID, should be used to track people.","['Mec', 'Mec']",2,official.sgml,True,False
826,2,1,Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities.,"Surveillance technology, such as RFID, can be operated twenty-four hours without  operators to track every detail about human activities.","['Mec', 'Mec', 'Prep', 'Rloc-', 'Wci']",5,official.sgml,True,False
828,2,1,"In supermarkets where it is difficult to catch stealers, surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use.","In supermarkets, where it is difficult to catch thieves, surveillance technology, which makes records that can be replayed or detects theives on the spot, isbeneficial.","['Mec', 'Wci', 'Mec', 'SVA', 'Wci', 'Mec', 'SVA', 'Wci']",8,official.sgml,True,False
831,2,1,It is useful as it reduces the chances of wrong doings that may occur.,It is useful as it reduces the chances of hat may .,"['Nn', 'Mec', 'Ssub', 'Vm', 'Vform']",5,official.sgml,True,False
834,2,2,"In late nineteenth century, there was a severe air crash happening at Miami international airport.","In the late nineteenth century, a severe air crash occurred at Miami International airport.","['ArtOrDet', 'WOinc', 'Mec']",3,official.sgml,True,False
836,2,2,"Sooner or later, the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed.",The electric systems short circuited with the result that the airplane was out of control and nosedivedund at extremely high speed.,"['Trans', 'Vform', 'Prep', 'ArtOrDet', 'Vt', 'Mec', 'Prep']",7,official.sgml,True,False
850,3,1,This can protect the students from being in a dangerous situation in particularly for the small children who are studying in nursery.,"This can protect the students from being in a dangerous situation, particularly  small children who are studying in nursery.","['Mec', 'Prep', 'ArtOrDet']",3,official.sgml,True,False
851,3,1,This technology can also be a helpful tool to assist the law enforcers such as the police to collect evidences of crime after it occurred.,"This technology can also be a helpful tool to assist law enforcers, such as the police, to collect evidence of crimes after they occur.","['ArtOrDet', 'Mec', 'Mec', 'Nn', 'Nn', 'Pref', 'Vt']",7,official.sgml,True,False
872,4,2,Surveillance technology such as RFID is not only useful to track the lost people but also useful to prevent the trading of children which happens in many developing countries.,"Surveillance technology such as RFID is not only useful to track lost people but is also useful to prevent the trading of children, which happens in many developing countries.","['ArtOrDet', 'V0', 'Mec']",3,official.sgml,True,False
879,4,3,Surveillance technology will help to prevent the family to loss their member especially the elderly and the children which need to be pay more attention to.,"Surveillance technology will help to prevent families from losing their members , especially the elderly and the children who need to be paid more attention to.","['ArtOrDet', 'Nn', 'Prep', 'Vform', 'Nn', 'Mec', 'Trans', 'Vform']",8,official.sgml,True,False
881,5,0,"From internet, email to the most powerful surveillance technology, every step is advancement to not only the society but also the world's achievements.","From theInternet and email to the most powerful surveillance technology, every step is an advancement for not only society but also the world's achievements.","['ArtOrDet', 'Mec', 'Trans', 'ArtOrDet', 'Prep', 'ArtOrDet']",6,official.sgml,True,False
882,5,0,"People's lives become from increasingly convenient to almost luxury, thanks to the implementation of increasingly technology available for the Man's life.","People's lives are goingincreasingly convenient to almost luxurious, thanks to the implementation of increasingly advanced technology available for man's life.","['Vt', 'Wci', 'Wform', 'Others', 'ArtOrDet', 'Mec']",6,official.sgml,True,False
893,5,2,"We revealed our locations, for our friends to catch up with us, however we can never know who is watching us out there secretly.","We reveal our locations, for our friends to catch up with us; however, we can never know who is watching us out there secretly.","['Vt', 'Srun', 'Mec']",3,official.sgml,True,False
912,6,1,This from also can be used as a tracking device where the places a person visited for the past few trips were all recorded by the system and the cards.,This form can also be used as a tracking device because the places a person visited for the past few trips were all recorded by the system and the cards.,"['Mec', 'WOinc', 'Trans']",3,official.sgml,True,False
914,6,1,As this information is been well keep by the operators where they encrypt the data and used it in the proper form.,As this information is been well-kept by the operators because they encrypt the data and use it in its proper form.,"['Mec', 'Wform', 'Trans', 'Spar', 'Npos']",5,official.sgml,True,False
924,6,4,Therefore I agree that the use of the RFID technology in tracking any person or product that would help the human race which also been mention above.,"Therefore, I agree that the use of the RFID technology in tracking any person or product  would help the human race which also has been mentioned above.","['Mec', 'Ssub', 'Vt', 'Vform']",4,official.sgml,True,False
957,8,3,"Everyday crimes are happening from time to time, and help to keep low criminal rate can be a combo of ethical, physiological and social problems.","Everyday crimes happen from time to time, and  can be a combination of ethical, physiological and social problems.","['Vform', 'Um', 'Wa']",3,official.sgml,True,False
960,8,3,"Thus, when a man with a 'terrorism tag' entering a junction or a plaza full of people police should notice this and observe the man's behavior as well as checking his package to prevent him from explode TNT.","Thus, when a man with a 'terrorism tag' enters a junction or a plaza full of people, police should notice this and observe the man's behavior as well as checking his package to prevent him from exploding TNT.","['Vform', 'Mec', 'Vform']",3,official.sgml,True,False
972,9,0,"However, when surveillance technology starts to violet the privacy of people instead of being used in a more benefitial way towards people, it is my opinion, that, such technology should rethink its way of existence.","However, when surveillance technology starts to violate the privacy of people instead of being used in a more beneficialway, it is my opinion that such technology should be rethought .","['Mec', 'Mec', 'Rloc-', 'Mec', 'Vform', 'Rloc-']",6,official.sgml,True,False
973,9,1,"In fact, people are getting more exposed in public through the fast development of the virtual world-the internet.","In fact, people are getting more exposed in public through the fast development of the virtual world -- the Internet.","['Mec', 'Mec']",2,official.sgml,True,False
974,9,1,"Social networks such as facebook ,Tiwtter and many others often reveal the true identities and some confidential information of the users without being realised.","Social networks such as Facebook,Twitter and many others often reveal the true identities and some confidential information of the users without their knowledge.","['Mec', 'Mec', 'Pref', 'Wci']",4,official.sgml,True,False
977,9,1,"Such incident happened in London a few years ago, when the government installed CCTV() on several streets in order to better supervise its people to keep the social order.","This happened in London a few years ago, when the government installed CCTV on several streets in order to better supervise its people and keep order.","['Pref', 'Mec', 'Trans', 'Wci']",4,official.sgml,True,False
979,9,1,"Instead, when news of the installment of such device was released on the newspaper, it was heavily cricised by the public.","Instead, when the installment of such devices was released in the newspaper, it was heavily criticised by the public.","['Rloc-', 'Nn', 'Prep', 'Mec']",4,official.sgml,True,False
990,9,2,Afterall there will be an endless battle between the technology and human mentality.,"After all, there will be an endless battle between the technology and human mentality.",['Mec'],1,official.sgml,True,True
994,9,2,"It may be dangerous as some pets are rather fierce and aggressive, however, it is the benevolence nature of human beings that we treat pets as ""human beings"", our friends that we do not want to restrict their freedom.","It may be dangerous as some pets are rather fierce and aggressive; however, it is the benevolent nature of human beings that we treat pets as ""human beings"", our friends, that we do not want to restrict their freedom.","['Srun', 'Wform', 'Mec']",3,official.sgml,True,False
995,9,2,This phenomenon is accepted by the public even by those who do not own a pet.,"This phenomenon is accepted by the public, even by those who do not own a pet.",['Mec'],1,official.sgml,True,True
999,9,3,"it does not only restrict their freedom in all aspects , but also cause leakage of personal information.","It not only restricts their freedom in all aspects , but also causes leakage of personal information.","['Mec', 'Trans', 'SVA', 'SVA']",4,official.sgml,True,False
1000,9,3,This greatly violets the rights of people.,This greatly violates the rights of people.,['Mec'],1,official.sgml,True,True
1014,10,3,Everyone knows the internet and data transmission are very common and accessible at any time and point such as Facebook.,Everyone knows the Internet and data transmission are very common and accessible at any time and point to examples such as Facebook.,"['Mec', 'Prep', 'Others']",3,official.sgml,True,False
1015,10,3,"However, people tend to express their personal feeling and idea about sensitive issues on the internet unintentionally.","However, people tend to express their personal feelings and ideas about sensitive issues on the Internet unintentionally.","['Nn', 'Nn', 'Mec']",3,official.sgml,True,False
1026,11,0,"For instance, face book as the well known social media platform has the ability of tracking someone's location.","For instance, Facebook, the well-known social media platform, has the ability to track someone's location.","['Mec', 'Trans', 'Mec', 'Mec', 'Prep', 'Wform']",6,official.sgml,True,False
1030,11,1,"It basically served to allocate your iphone's position at any single time, For instance, if someone left his phone in a certain place, he can check his phone's location by searching through the internet using another phone that has the same application if you are connected with your friends' device.","It basically serves to locate your iphone's position at any single time. For instance, if someone left his phone in a certain place, he can check his phone's location by searching through the Internet using another phone that has the same application if you are connected with your friend's device.","['Vt', 'Wci', 'Mec', 'Mec', 'Mec']",5,official.sgml,True,False
1037,11,3,"For example, if the tracking technology is able to track everyone even strangers, this means your location at anytime is viewable to every single person online.","For example, if the tracking technology is able to track everyone, even strangers, this means your location at anytime is viewable to every single person online.",['Mec'],1,official.sgml,True,True
1038,11,3,These kind of situation will cause crime as thieves may auto track you and you are not able to run out of them.,This kind of situation will cause crime as thieves may auto-track you and you would not be able to run away from them.,"['Pform', 'Mec', 'Vm', 'Prep']",4,official.sgml,True,False
1069,13,0,"After the invention of phone and internet, there are more ways to use to communicate with people and even track people.","After the invention of the phone and Internet, there are more ways to use to communicate with people and even track people.","['ArtOrDet', 'Mec']",2,official.sgml,True,False
1087,13,3,This technology leads to a problem which is same with the prisoner issue that is the human privacy.,"This technology leads to a problem which is the same one in the prisoner issue, that is human privacy.","['ArtOrDet', 'Wci', 'Prep', 'Mec', 'ArtOrDet']",5,official.sgml,True,False
1089,13,3,"Although the initial function of implementation of RFID is good for the children, however children also have the human rights and privacy which is endanger under this technology.","Although the initial reason for the of implementation of RFID is good for children; however, children also have human rights and privacy which is threatened by this technology.","['Wci', 'ArtOrDet', 'Srun', 'Mec', 'ArtOrDet', 'Wci', 'Prep']",7,official.sgml,True,False
1110,14,1,"Since RFID tags attached to the product can remain functional for a long period of time, it could be misused for surveillance purposed which are not related to the industries production or supply activities.","Since RFID tags attached to a product can remain functional for a long period of time, they could be misused for surveillance purposes which are not related to  industrial production or supply activities.","['ArtOrDet', 'Pref', 'Wa', 'ArtOrDet', 'Wform']",5,official.sgml,True,False
1113,14,1,"Moreover, if the product is what one needs to use every day like clothes or shoes, then the location of one will be revealed every seconds.","Moreover, if the product is what one needs to use everyday like clothes or shoes, then the one's location will be revealed every second.","['Mec', 'Npos', 'Nn']",3,official.sgml,True,False
1122,15,1,"This is because of two reasons, one is the strict law in Singapore, and the other is the dense surveillances everywhere.","This is because of two reasons, have also emergedstrict law in Sinforpore, and the other is the dense surveillas everywhere.","['Vt', 'Prep', 'ArtOrDet', 'Mec']",4,official.sgml,True,False
1133,15,3,"People needs a safe environment to live in, and also needs a private environment to stay independent.","People needs a e environmenOnto li,and also needshelpsrivate environment to stay independent.","['Rloc-', 'Prep', 'Wci', 'Mec', 'ArtOrDet', 'SVA']",6,official.sgml,True,False
1134,15,3,"The surveillance is a useful method to keep society's safe, but also kills the privacy of people in some degree.","Thlife.vllance is ad,eful method to keep society's safe, but also killsbecause ofprivacy of people in some degree.","['Srun', 'Prep', 'Mec', 'Wci', 'Mec', 'Trans']",6,official.sgml,True,False
1135,15,3,"The best way to solve the contradiction is to educate people well and make them live an affluent life, and then the surveillance is no more needed.",The best way to solve the contradictiothe authoro educate people well and make them live an affluent li Big Brothere surveillance isanythingeeded.,"['ArtOrDet', 'ArtOrDet', 'Mec', 'Wform']",4,official.sgml,True,False
1138,16,0,"In order to bring more benefit and ensure people's safety, surveillance technology has been utilized in many aspects of fields like in UPs and DHL, these express delivery companies use surveillance technology to track their goods.","In order to bring more benefit and ensure people's safety, surveillance technology has been utilized by many companies like in UPS and DHL. These express delivery companies use surveillance technology to track their goods.","['Prep', 'Wci', 'Mec', 'Srun']",4,official.sgml,True,False
1141,16,0,"I do not agree this kind of behavior, because humans are different from goods, cannot treat humans as goods.",I do not agree with this kind of behavior because humans are different from goods and cannot be treated as goods.,"['Prep', 'Mec', 'Trans', 'Spar']",4,official.sgml,True,False
1146,16,2,"For instance, a company has over two hundred employees scattered over different locations in Singapore, and is currently keeping tracking of working hours and overtime payments through the use of a punch card system-a system which can be open to abuses such as an employee punching the card for another.","For instance, a company has over two hundred employees scattered over different locations in Singapore, and is currently keeping track of working hours and overtime payments through the use of a punch card system, a system which can be open to abuses such as an employee punching another's card.","['Wform', 'Mec', 'Wci']",3,official.sgml,True,False
1148,16,2,"In another a word, people will feel that the boss or the company treats them like goods, because modern people need more homage not money.","In other  words, people will feel that the boss or the company treats them like goods because modern people need  respect not money.","['Wci', 'ArtOrDet', 'Nn', 'Mec', 'Rloc-', 'Wci']",6,official.sgml,True,False
1157,16,4,"In conclusion, what I have mentioned above, we have to agree, tracking system has many benefits in different parts in humans life especially in this modern world.","In conclusion, as I have mentioned above, we have to agree that tracking systems have many benefits in different aspects of human life, especially in this modern world.","['Trans', 'Ssub', 'Nn', 'SVA', 'Wci', 'Prep', 'Wform', 'Mec']",8,official.sgml,True,False
1160,16,4,So Surveillance technology should not be used to track people.,So surveillance technology should not be used to track people.,['Mec'],1,official.sgml,True,True
1167,17,3,"The libraries also use this technology to identify the membership of the people entering, which ensures the security and the member itself will also conserve their information made in this library.","The libraries alsurveillancetechnology tdhasfy the membership of the people entering, which ensures the security and the member itself will also conserve their information main this library.","['Mec', 'Rloc-', 'SVA', 'ArtOrDet']",4,official.sgml,True,False
1171,17,4,"All in all, the RFID system is used to catch the information of the object and track.",Librariesystem is used to catch the information of the oct and track.,"['ArtOrDet', 'Mec', 'ArtOrDet']",3,official.sgml,True,False
1173,17,4,This will inversely improve the sale of the shop.,This will inversely improve  sale of the shop.,"['ArtOrDet', 'Mec']",2,official.sgml,True,False
1186,18,1,In supermarket monitor is needed because we have to track thieves.,"In thesupermarket, monitors are needed because we have to track thieves.","['ArtOrDet', 'Mec', 'Nn', 'SVA']",4,official.sgml,True,False
1187,18,1,In front of ATM we need monitor to avoid intentional crime.,"In front of the ATM, we need acamera to avoid intentional crime.","['ArtOrDet', 'Mec', 'ArtOrDet', 'Wci']",4,official.sgml,True,False
1194,18,2,"In a Chinese kindergarten, Children were always abused by a teacher but no one else knows that.","In a Chinese kindergarten, children could be always abused by a teacher but no one else would know it.","['Mec', 'Vm', 'Vm', 'Pform']",4,official.sgml,True,False
1206,18,4,"In conclusion, surveillance technology is necessary in many public places in my opinion because we need it in crime investigation and social issues.","In conclusion, surveillance technology is necessary in many public places, in my opinion, because we need it in crime investigation and social issues.","['Mec', 'Mec']",2,official.sgml,True,False
